stop_pct,rr,period,candidate_entries,skipped_overlaps,trades,gross_pnl,net_pnl,costs,win_rate_pct,profit_factor,net_sharpe,stops,targets,forced_eod,avg_net_trade
0.02,1.0,holdout,80,18,62,1585.381613999994,1049.2979525228386,536.0836614771551,50.0,1.2393081385700777,1.3311382878655025,2,6,54,16.924160524561913
0.02,1.0,full,385,93,292,-290.564312000015,-2882.9811692765516,2592.4168572765366,47.6027397260274,0.870541677792221,-0.7943291241345614,21,19,252,-9.873223182453943
0.02,1.5,development,218,57,161,-3984.2516780000205,-5438.535320485873,1454.2836424858533,43.47826086956522,0.6254324193494749,-2.7020248139250747,17,4,140,-33.77972248748989
0.02,1.5,validation,87,18,69,930.3643400000119,328.3746704920784,601.989669507933,50.72463768115942,1.0788387949187033,0.43281036018156305,3,2,64,4.759053195537368
0.02,1.5,holdout,80,18,62,840.9004999999931,304.6237087000347,536.2767912999589,48.38709677419355,1.0641788479603633,0.39361845269081247,2,0,60,4.913285624194108
0.02,1.5,full,385,93,292,-2212.9868380000144,-4805.53694129376,2592.550103293745,46.23287671232877,0.7949079776620157,-1.2990064497481657,22,6,264,-16.457318292101917
0.02,2.0,development,218,57,161,-3068.652078000024,-4522.903647245879,1454.2515692458542,44.099378881987576,0.6826914616678215,-2.0619243870341912,17,3,141,-28.092569237552045
0.02,2.0,validation,87,18,69,1164.1206200000115,562.09781371608,602.0228062839311,50.72463768115942,1.134952900579713,0.6851693346838638,3,1,65,8.14634512632
0.02,2.0,holdout,80,18,62,840.9004999999931,304.6237087000347,536.2767912999589,48.38709677419355,1.0641788479603633,0.39361845269081247,2,0,60,4.913285624194108
0.02,2.0,full,385,93,292,-1063.6309580000184,-3656.182124829763,2592.5511668297445,46.57534246575342,0.8421718091272137,-0.9269906444549089,22,4,266,-12.5211716603759
0.02,3.0,development,218,58,160,-2605.891478000019,-4051.112005765873,1445.220527765854,43.75,0.7157904458229487,-1.7337334811571705,17,1,142,-25.319450036036706
0.02,3.0,validation,87,18,69,1290.0923000000093,688.0442993800755,602.0480006199335,50.72463768115942,1.1651911316196268,0.8030191326544239,3,0,66,9.971656512754716
0.02,3.0,holdout,80,18,62,840.9004999999931,304.6237087000347,536.2767912999589,48.38709677419355,1.0641788479603633,0.39361845269081247,2,0,60,4.913285624194108
0.02,3.0,full,385,94,291,-474.89867800001593,-3058.4439976857625,2583.545319685747,46.391752577319586,0.8679746613927357,-0.7385868305830249,22,1,268,-10.510116830535265
