stop_usd,target_usd,sessions,raw_bars,trades,generated_flat_signals,ignored_signals_while_open,gross_pnl,costs,commissions,slippage,net_pnl,net_return_pct,win_rate_pct,profit_factor,net_sharpe,net_sortino,max_drawdown_usd_daily,max_drawdown_pct_daily,avg_net_trade,avg_duration_bars,stops,targets,forced_eod,avg_gross_risk_usd,avg_gross_reward_usd
2.25,2.0,125,48390,196,196,1408,-164.75200000000063,1709.4851915598067,148.44900000000015,1561.0361915598066,-1874.2371915598073,-1.8742371915598073,51.02040816326531,0.8796058917267294,-1.0031784719190402,-1.241157221827674,4348.7507041398785,4.302734491546872,-9.562434650815344,147.01020408163265,48,50,98,243.44770408163265,216.39795918367346
2.25,2.75,125,48390,180,180,1424,-430.628399999997,1569.6447928398306,136.25500000000008,1433.3897928398299,-2000.2731928398275,-2.0002731928398276,50.0,0.8656894608561695,-1.0264241005969614,-1.295343987110373,4751.303103139871,4.696893433425398,-11.112628849110154,167.67777777777778,47,25,108,243.3125,297.38194444444446
2.5,2.75,125,48390,176,176,1428,-643.93659999999,1534.9644035198453,133.34300000000005,1401.621403519845,-2178.9010035198353,-2.1789010035198353,50.0,0.8539702502322392,-1.0519638637719824,-1.2860683411070952,5412.296879979884,5.350602890425574,-12.380119338180883,173.6931818181818,40,25,111,270.5823863636364,297.640625
3.0,0.5,125,48390,355,355,1249,1229.9634000000058,3095.192563959682,268.5270000000004,2826.6655639596806,-1865.2291639596765,-1.8652291639596765,75.49295774647888,0.8650500933168436,-1.1108425881793023,-1.256008629109278,3539.1595767798863,3.5169426978655474,-5.254166659041342,52.416901408450705,26,260,69,324.1774647887324,54.02957746478873
3.0,2.0,125,48390,176,176,1428,-768.4768999999918,1535.1339150598365,133.40600000000006,1401.7279150598365,-2303.6108150598284,-2.3036108150598285,51.13636363636363,0.841098901285156,-1.1361278802444448,-1.3696426193496833,5037.224692719901,4.983353418144867,-13.088697812839934,167.8465909090909,29,44,103,324.85227272727275,216.5681818181818
1.5,1.25,125,48390,291,291,1313,361.5166999999842,2537.577110699735,220.0660000000001,2317.5111106997333,-2176.0604106997507,-2.1760604106997508,50.85910652920962,0.8805477611699951,-1.1680016388405834,-1.4382033678611712,3324.7247211597714,3.307695037596768,-7.477870827146909,80.75257731958763,95,115,81,162.05154639175257,135.0429553264605
2.25,2.25,125,48390,194,194,1410,-557.9655000000043,1692.124950259824,146.94400000000013,1545.1809502598242,-2250.0904502598282,-2.2500904502598282,50.0,0.857693595482275,-1.1947450273916853,-1.4912547202687012,4438.736663239877,4.403763756477587,-11.59840438278262,149.43298969072166,49,38,107,243.46391752577318,243.46391752577318
1.25,1.5,125,48390,295,295,1309,461.07959999998985,2572.4780041597423,223.04800000000012,2349.4300041597426,-2111.3984041597523,-2.111398404159752,46.101694915254235,0.8857010199999922,-1.1992502043581106,-1.5022561352597237,2859.7570057997946,2.849735421216696,-7.1572827259652625,81.49491525423728,118,90,87,135.01694915254237,162.02033898305083
1.75,1.75,125,48390,229,229,1375,-217.62550000001772,1996.1783301397822,172.92100000000013,1823.2573301397829,-2213.8038301398,-2.2138038301398004,49.34497816593886,0.8689486693804701,-1.2031345953144665,-1.4968757738648897,3947.674882299878,3.90403407301586,-9.667265633798253,116.62008733624454,72,67,90,188.77838427947597,188.77838427947597
2.25,0.5,125,48390,377,377,1227,1404.6899999999987,3287.1605940396566,285.3130000000003,3001.8475940396524,-1882.4705940396577,-1.8824705940396578,75.06631299734748,0.8704590723643829,-1.2061182873309573,-1.3828168562159893,3711.898774779853,3.6885975350836757,-4.993290700370445,45.3448275862069,44,275,58,243.25663129973475,54.05702917771883
2.5,2.25,125,48390,188,188,1416,-839.5863999999978,1639.8560963598366,142.5200000000001,1497.336096359837,-2479.4424963598344,-2.4794424963598347,50.0,0.8415926987896584,-1.219683331103416,-1.475194558175164,5059.553762319876,5.019957841521962,-13.18852391680763,157.30851063829786,41,38,109,270.74468085106383,243.67021276595744
2.5,3.0,125,48390,170,170,1434,-1034.575499999988,1482.4857120998568,128.75800000000004,1353.7277120998583,-2517.061212099845,-2.517061212099845,49.411764705882355,0.8286467369918791,-1.237242728273146,-1.4930814822568217,5346.7992624798935,5.286661027086334,-14.806242424116734,182.57647058823528,40,19,111,270.5,324.6
2.5,0.5,125,48390,373,373,1231,1091.5180000000023,3252.299384999677,282.3100000000003,2969.9893849996747,-2160.7813849996746,-2.160781384999675,75.33512064343164,0.8531541484491565,-1.2905200950937232,-1.457943921066627,4029.624988939875,4.0043292404698585,-5.7929795844495295,46.85790884718499,38,273,62,270.3083109919571,54.061662198391424
1.75,0.5,125,48390,400,400,1204,1659.896099999993,3487.2368839796372,302.4770000000004,3184.759883979635,-1827.3407839796441,-1.8273407839796443,73.25,0.8770953765122198,-1.3096305881016415,-1.5321305979576607,3725.2350275597128,3.7018500702727484,-4.56835195994911,40.2825,64,284,52,189.048125,54.01375
2.25,3.0,125,48390,174,174,1430,-996.0222999999959,1517.1109544198403,131.66300000000004,1385.447954419841,-2513.1332544198362,-2.513133254419836,48.85057471264368,0.8289443163512388,-1.3214198618129513,-1.638608414278688,4685.805485639881,4.632854913003509,-14.443294565631243,175.4655172413793,47,19,108,243.2198275862069,324.2931034482759
2.75,0.5,125,48390,358,358,1246,927.7380000000055,3121.374527999691,270.7880000000004,2850.5865279996874,-2193.6365279996853,-2.193636527999685,75.13966480446928,0.8454035438278799,-1.3232313432297917,-1.4989333320006926,3869.251227579749,3.8449622165455213,-6.127476335194651,50.8268156424581,31,261,66,297.1536312849162,54.02793296089386
1.25,1.75,125,48390,280,280,1324,78.95159999998629,2441.483944439757,211.75000000000003,2229.7339444397576,-2362.532344439771,-2.362532344439771,44.642857142857146,0.8736915291295955,-1.3239717717206536,-1.6697495796563007,2923.0962432399538,2.912356175824432,-8.437615515856324,88.70357142857142,121,75,84,135.04464285714286,189.0625
3.0,2.75,125,48390,162,162,1442,-1346.1474999999914,1412.849504059854,122.75200000000008,1290.097504059855,-2758.9970040598455,-2.7589970040598453,50.617283950617285,0.80359407470518,-1.32575779441194,-1.6167436681658638,5804.224668559895,5.737101815574714,-17.03084570407312,189.6358024691358,30,23,109,324.74074074074076,297.679012345679
2.0,2.75,125,48390,191,191,1413,-1009.2810000000064,1665.3502215198332,144.54300000000006,1520.8072215198329,-2674.6312215198395,-2.6746312215198396,47.64397905759162,0.830645551983443,-1.3258574442310544,-1.6381429765640982,5251.165049219897,5.189937237224138,-14.003304824711202,155.90052356020942,56,26,109,216.2198952879581,297.3023560209424
