entry_mode,abs_threshold_usd,anchor_filter,trades,net_pnl,gross_pnl,costs,net_return_pct,net_sharpe,net_sortino,max_drawdown_pct,win_rate_pct,profit_factor,avg_net_trade,median_net_trade,avg_duration,long_net_pnl,short_net_pnl,eligible
z_or_abs,0.25,True,5164,-43825.90761280422,2770.102642999863,46596.01025580408,-43.82590761280422,-9.060424924309203,-8.491921992714257,43.98126619576427,33.694810224632064,0.538300182195403,-8.486814022618942,-7.4552643499975115,6.739155693261038,-22867.72191740628,-20958.185695397948,True
abs_only,0.5,False,5702,-48426.5078308752,3052.9333999999335,51479.441230875134,-48.426507830875195,-9.069978793299299,-8.690000357093917,48.50628739487523,33.654857944580854,0.548184683487,-8.492898602398316,-7.524029819999316,6.978428621536303,-25344.09841969743,-23082.409411177796,True
abs_only,0.25,True,5155,-44139.75043184425,2374.6572429998496,46514.4076748441,-44.13975043184425,-9.15254679292055,-8.55216441042858,44.29510901480433,33.6372453928225,0.5333518712119648,-8.56251220792323,-7.461404000000831,6.686905916585839,-23321.329594486295,-20818.420837357957,True
z_or_abs,0.25,False,6850,-58732.188644922775,3130.8406429998754,61863.02928792265,-58.73218864492278,-10.79497345688216,-9.642867783176063,58.887547227883076,33.18248175182482,0.5353445003194266,-8.57404213794493,-7.528586349996959,6.712846715328467,-29591.663723205438,-29140.52492171735,True
abs_only,0.25,False,6849,-58995.630990542806,2857.2337429998615,61852.864733542665,-58.9956309905428,-10.903083831037844,-9.698430207670409,59.15098957350312,33.128923930500804,0.5326026650742202,-8.613758357503695,-7.529339999995191,6.668272740546065,-30028.226148545444,-28967.404841997373,True
abs_only,7.5,False,3,635.5299105000034,662.8875000000023,27.35758949999888,0.6355299105000035,1.2789617033439216,0.0,0.1497826068600116,100.0,0.0,211.84330350000116,163.34843514000187,9.0,635.5299105000034,0.0,False
abs_only,7.5,True,3,635.5299105000034,662.8875000000023,27.35758949999888,0.6355299105000035,1.2789617033439216,0.0,0.1497826068600116,100.0,0.0,211.84330350000116,163.34843514000187,9.0,635.5299105000034,0.0,False
abs_only,6.0,False,25,631.8709152799976,858.0059999999826,226.135084719985,0.6318709152799975,1.013741206301954,3.117097524724659,0.5189926637399912,52.0,2.3511966009354963,25.274836611199902,0.8296399999990349,11.08,631.8709152799973,0.0,False
abs_only,6.0,True,25,631.8709152799976,858.0059999999826,226.135084719985,0.6318709152799975,1.013741206301954,3.117097524724659,0.5189926637399912,52.0,2.3511966009354963,25.274836611199902,0.8296399999990349,11.08,631.8709152799973,0.0,False
abs_only,10.0,False,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
abs_only,10.0,True,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
