date,NVDA,MSFT,AAPL,AMZN,GOOGL,META,AVGO,TSLA,AMD
2026-03-20,-116.1894680000,113.3487680000,13.4935200000,-168.4727720000,9.3122040000,248.0754540000,241.5808200000,362.8095920000,66.8510939600
2026-03-23,-76.5376120000,189.6706320000,95.3657190000,25.1151080000,175.3288740000,249.2889670000,-58.9501580000,-3.0846400000,-175.2479940000
2026-03-24,72.4825680000,45.1718088400,231.0115080000,129.5733120000,-185.4939700000,247.5478830000,-89.2750698000,-99.9908040000,215.5127290000
2026-03-25,-131.9445900000,-100.2102270000,70.3368120000,108.8867800000,26.9780480000,74.6243520000,-43.0483322800,291.5898480000,214.7930330000
2026-03-26,79.2301860000,-178.9523280000,82.8058920000,169.3991800000,407.4600400000,-180.5377760000,284.0231520000,410.0799960000,200.5918060000
2026-03-27,203.6727440000,92.9484600000,-423.0815920000,-175.9295340000,92.5139520000,202.9752140000,392.1401920000,120.8421720000,-24.0329430000
2026-03-30,321.9516060000,192.1571850000,-30.4292700000,88.6242060000,93.1191840000,166.0219600000,-82.9010440000,-366.3227700000,-324.6901939400
2026-03-31,258.3997000000,196.8675840000,676.5131920000,84.2473880000,162.5864590000,-3.5188770000,-387.0491950000,-327.7539180000,120.4643040000
2026-04-01,0.5607060000,8.5364582400,-32.6986920000,22.3804040000,385.3109113200,256.0427120000,82.9915380000,-229.9494040000,23.2710740000
2026-04-02,139.9779216000,-176.3520120000,-141.1032480000,-68.4986100000,-233.1945117000,-104.5707957600,220.0249600000,369.7887276000,-228.8905429600
2026-04-06,-129.7061460000,-52.3098446000,69.0417882000,93.6277600000,-200.1552008000,-51.8583667200,-176.2043008000,101.7659960000,-141.2740584000
2026-04-07,217.3463600000,-194.6817720000,-344.0443040000,-287.2652500000,184.8927960000,-97.9835150000,-167.3946012000,374.7204260000,355.3786600000
2026-04-08,19.6422360000,-164.6874300000,-32.3786540000,138.5235000000,111.6442060000,-720.0564040000,-236.6329350000,390.7513020000,450.8292642400
2026-04-09,-162.9834490000,-254.0858760000,-75.5356140000,13.1873040000,-30.6560240000,-84.2968120000,-1.0634400000,341.4845817000,-42.2886050000
2026-04-10,306.4307708000,1.3084640000,-85.2229040000,-35.4715200000,-58.3503260000,3.8404660000,135.9600110000,287.0687380000,-188.7534916200
2026-04-13,53.7880040000,-433.4946320000,-103.2137260000,-157.2975600000,-171.7491760000,-129.8116940000,121.8866970000,-30.6813920000,-160.8604110000
2026-04-14,-245.6690080000,-45.4696500000,109.7069050000,-78.2824920000,-132.4776984000,-156.1915800000,16.4104200000,-123.0265894000,63.4785445200
2026-04-15,114.2667160000,-136.2612268800,-236.5721920000,106.5767200000,254.1298740000,64.1183040000,136.7468000000,-543.4912080000,533.0121160000
2026-04-16,141.7434000000,244.8497760000,24.5676000000,-81.0291200000,-129.9715720000,38.8519960000,57.6696000000,181.4696280000,85.4403200000
2026-04-17,85.9452660000,-120.1571920000,21.1586850000,-69.6627400000,183.3305112000,-228.0717754200,199.4921320000,243.1237900000,34.9011860000
2026-04-20,-340.7184000000,-9.5986220000,57.2325840000,-165.4635480000,-67.4974160000,-45.6935600000,-40.0362340000,-143.7411030000,324.0217040000
2026-04-21,81.7581600000,88.2216060000,-154.9474160000,248.5633528000,258.7361597600,104.6863170000,-123.8768990000,251.2968900000,276.1972660000
2026-04-22,-126.3764937600,73.8431100000,39.7014880000,-60.1812980000,-82.1580900000,119.7230838000,-448.5218880000,-215.6123430000,-121.4006140000
2026-04-23,50.6688000000,-192.8920420000,-25.2820900000,-319.3655848400,-163.1004380000,144.5677860000,-254.5491790600,366.3507896200,3.5040040000
2026-04-24,-523.2492440000,-203.7929400000,-65.1400540000,173.2017950000,76.8835240000,-186.4635475000,458.4099040000,90.2541240000,0.1757310000
2026-04-27,-423.2603800000,-58.6000700000,-75.3967500000,173.0252480000,6.7212690000,-29.8187860000,-60.5879350000,-489.6016920000,330.6013960000
2026-04-28,-234.8719200000,65.1624500000,30.6456190000,8.4034720000,168.2410740000,61.7391683600,31.6614000000,-13.3643231200,-237.2394280000
2026-04-29,70.8482539200,85.2364740000,130.6322000000,-73.0837500000,-340.1519020000,152.0920660000,151.7597530000,29.6284310000,-599.0268998400
2026-04-30,346.4635960000,517.1650277200,87.7537320000,-160.5228832000,-290.7924158800,128.9666880000,35.3460160000,-518.7475700000,-15.3994920000
2026-05-01,232.6822000000,81.8073840000,-218.3610800000,125.5312320000,134.1221440000,159.9119360000,-70.2757160000,262.5312500000,-2.6798440000
2026-05-04,81.9386140000,-8.0389920000,43.3526400000,-43.4430680000,-106.8491320000,86.0260480000,-111.9914880000,339.7390150000,24.4969960000
2026-05-05,-190.5964000000,84.4261440000,-157.5180600000,-116.8518240000,49.7029680000,-18.2133930000,-180.1166430000,236.8140000000,427.4214424000
2026-05-06,242.8101539600,19.0852800000,-52.2256170000,149.4072660000,12.6087020000,-29.0287040000,182.5318320000,-198.0322500000,-365.6370370800
2026-05-07,155.0578143600,51.9043560000,291.1851800000,-135.8591320000,12.6796000000,159.7021440000,72.9605990400,577.8697490000,-39.8892100000
2026-05-08,147.0530760000,85.3772860000,-6.0711080000,165.5438520000,13.9184292000,-10.3663801600,-188.0561880000,99.9185320000,142.5787894400
2026-05-11,184.6602520000,-43.7725440000,-22.0396160000,-25.9673410000,-30.2231380000,91.3156332000,-102.5248920000,-981.5004260000,221.4276609000
2026-05-12,74.9009040000,-20.6492160000,-12.3909800000,170.5758000000,16.6467483200,18.4822770000,231.6915840000,-284.7021880000,-351.7206500000
2026-05-13,101.4363680000,-5.5870290000,-209.4889000000,-163.3690960000,-62.5059680000,-252.3473280000,194.6245630000,-319.6972737000,-160.0256240000
2026-05-14,-176.0270100000,-66.7474560000,53.1921040000,-105.3879880000,-97.0570560000,97.6369280000,-305.0529560000,78.5546960000,-170.3895582400
2026-05-15,195.3664640000,-5.2078350000,-71.1012720000,59.2712940000,-25.2834000000,155.8773760000,272.9989400000,-251.9394240000,262.7615680000
2026-05-18,387.7737420000,194.0344616000,-91.5142280000,-136.3585000000,-101.5291340000,239.9423360000,-214.7679360000,37.8614400000,-457.8006696000
