variant,symbol,lead_symbol,signal_time,entry_time,exit_time,direction,entry_z,entry_reference,entry_price,exit_reference,exit_price,shares,requested_notional,allocated_notional,entry_notional,stop_usd_per_share,target_usd_per_share,gross_risk_usd,gross_reward_usd,stop_price,target_price,exit_reason,duration_bars,gross_pnl,slippage,commissions,costs,net_pnl
equal_allocation,META,QQQ,2026-07-21 15:08:00-04:00,2026-07-21 15:09:00-04:00,2026-07-21 15:33:00-04:00,SHORT,2.9123444657,648.4400000000,648.3103120000,645.6900000000,645.8191380000,17,11111.1100000000,11111.1100000000,11021.2753040000,8.0000000000,2.7500000000,136.0000000000,46.7500000000,656.4400000000,645.6900000000,TAKE_PROFIT_BRACKET,24,46.7500000000,4.4000420000,0.1190000000,4.5190420000,42.2309580000
equal_allocation,NVDA,QQQ,2026-07-21 14:37:00-04:00,2026-07-21 14:38:00-04:00,2026-07-21 15:59:00-04:00,SHORT,2.5611101577,206.7650000000,206.7236470000,207.1700000000,207.2114340000,53,11111.1100000000,11111.1100000000,10956.3532910000,5.2500000000,1.2500000000,278.2500000000,66.2500000000,212.0150000000,205.5150000000,FORCED_EOD,81,-21.4650000000,4.3877110000,0.3710000000,4.7587110000,-26.2237110000
equal_allocation,MSFT,QQQ,2026-07-21 11:00:00-04:00,2026-07-21 11:01:00-04:00,2026-07-21 15:59:00-04:00,LONG,-3.7105517939,398.4250000000,398.5046850000,397.6400000000,397.5604720000,27,11111.1100000000,11111.1100000000,10759.6264950000,11.7500000000,9.0000000000,317.2500000000,243.0000000000,386.6750000000,407.4250000000,FORCED_EOD,298,-21.1950000000,4.2987510000,0.1890000000,4.4877510000,-25.6827510000
equal_allocation,AAPL,QQQ,2026-07-21 12:39:00-04:00,2026-07-21 12:40:00-04:00,2026-07-21 15:59:00-04:00,LONG,-2.5757745267,328.2500000000,328.3156500000,327.5900000000,327.5244820000,33,11111.1100000000,11111.1100000000,10834.4164500000,3.0000000000,7.5000000000,99.0000000000,247.5000000000,325.2500000000,335.7500000000,FORCED_EOD,199,-21.7800000000,4.3285440000,0.2310000000,4.5595440000,-26.3395440000
equal_allocation,AMZN,QQQ,2026-07-21 14:30:00-04:00,2026-07-21 14:31:00-04:00,2026-07-21 15:59:00-04:00,LONG,-3.4527904913,247.9900000000,248.0395980000,247.5100000000,247.4604980000,44,11111.1100000000,11111.1100000000,10913.7423120000,2.0000000000,1.2500000000,88.0000000000,55.0000000000,245.9900000000,249.2400000000,FORCED_EOD,88,-21.1200000000,4.3604000000,0.3080000000,4.6684000000,-25.7884000000
equal_allocation,GOOGL,QQQ,2026-07-21 14:27:00-04:00,2026-07-21 14:28:00-04:00,2026-07-21 15:59:00-04:00,SHORT,2.6349157903,348.8000000000,348.7302400000,347.1100000000,347.1794220000,31,11111.1100000000,11111.1100000000,10810.6374400000,1.2500000000,3.2500000000,38.7500000000,100.7500000000,350.0500000000,345.5500000000,FORCED_EOD,91,52.3900000000,4.3146420000,0.2170000000,4.5316420000,47.8583580000
equal_allocation,META,QQQ,2026-07-21 15:55:00-04:00,2026-07-21 15:56:00-04:00,2026-07-21 15:59:00-04:00,LONG,-2.6399017905,644.7150000000,644.8439430000,643.4400000000,643.3113120000,17,11111.1100000000,11111.1100000000,10962.3470310000,8.0000000000,2.7500000000,136.0000000000,46.7500000000,636.7150000000,647.4650000000,FORCED_EOD,3,-21.6750000000,4.3797270000,0.1190000000,4.4987270000,-26.1737270000
equal_allocation,AVGO,QQQ,2026-07-21 14:03:00-04:00,2026-07-21 14:04:00-04:00,2026-07-21 15:59:00-04:00,LONG,-2.9447359686,385.6100000000,385.6871220000,386.1900000000,386.1127620000,28,11111.1100000000,11111.1100000000,10799.2394160000,10.5000000000,5.0000000000,294.0000000000,140.0000000000,375.1100000000,390.6100000000,FORCED_EOD,115,16.2400000000,4.3220800000,0.1960000000,4.5180800000,11.7219200000
equal_allocation,TSLA,QQQ,2026-07-21 10:01:00-04:00,2026-07-21 10:02:00-04:00,2026-07-21 15:59:00-04:00,SHORT,2.5361914264,378.7150000000,378.6392570000,378.8900000000,378.9657780000,29,11111.1100000000,11111.1100000000,10980.5384530000,19.7500000000,7.0000000000,572.7500000000,203.0000000000,398.4650000000,371.7150000000,FORCED_EOD,357,-5.0750000000,4.3941090000,0.2030000000,4.5971090000,-9.6721090000
equal_allocation,AMD,QQQ,2026-07-22 10:02:00-04:00,2026-07-22 10:03:00-04:00,2026-07-22 10:05:00-04:00,LONG,-2.8254545869,547.9700000000,548.0795940000,546.2200000000,546.1107560000,20,11111.1100000000,11111.1100000000,10961.5918800000,1.7500000000,4.0000000000,35.0000000000,80.0000000000,546.2200000000,551.9700000000,STOP,2,-35.0000000000,4.3767600000,0.1400000000,4.5167600000,-39.5167600000
