entry_time,exit_time,direction,entry_price,exit_price,shares,entry_z,exit_z,duration_bars,gross_pnl,costs,net_pnl,exit_reason
2025-10-10 11:06:00-04:00,2025-10-10 12:05:00-04:00,LONG,192.518496,189.222148,103,-2.131002281522461,0.29356147763053686,59,-331.65999999999985,8.584843999999574,-340.24484399999943,TAKE_PROFIT
2025-10-13 14:05:00-04:00,2025-10-13 14:58:00-04:00,LONG,188.26764599999998,187.467499,106,-2.607593391195932,0.3248061232867718,53,-76.8499999999994,8.70758199999862,-85.55758199999802,TAKE_PROFIT
2025-10-16 11:34:00-04:00,2025-10-16 12:59:00-04:00,SHORT,182.37551760000002,181.40557386,109,2.63026161853758,-0.5226340355638156,85,113.65429999999961,8.693432339997509,104.9608676600021,TAKE_PROFIT
2025-10-16 13:28:00-04:00,2025-10-16 14:44:00-04:00,SHORT,182.16356,181.01619599999998,109,2.624928974723751,0.12961616669872442,76,132.97999999999988,8.680323999998757,124.29967600000111,TAKE_PROFIT
2025-10-17 15:37:00-04:00,2025-10-17 15:56:00-04:00,LONG,183.291651,183.08337600000002,109,-2.7870887710675794,-0.7805621092122131,19,-14.714999999999009,8.74997499999949,-23.464974999998496,TAKE_PROFIT
2025-10-20 10:25:00-04:00,2025-10-20 10:41:00-04:00,SHORT,184.308131,184.001793,108,2.8629580641334558,-0.2919860352202481,16,41.03999999999951,8.711495999998334,32.328504000001175,TAKE_PROFIT
2025-10-21 14:11:00-04:00,2025-10-21 15:03:00-04:00,LONG,181.401273,181.23374600000002,110,-2.400287211044395,0.0008506826380026461,52,-10.449999999999875,8.747969999997753,-19.19796999999763,TAKE_PROFIT
2025-10-23 13:40:00-04:00,2025-10-23 15:09:00-04:00,SHORT,182.58347600000002,182.781549,109,3.113324644141824,0.10984351843847612,89,-13.625,8.727956999999316,-22.352956999999314,TAKE_PROFIT
2025-10-23 15:53:00-04:00,2025-10-23 15:56:00-04:00,LONG,182.11641600000002,182.1115704,109,-2.536040232655632,-1.7472035754952764,3,7.411999999998216,8.703170399999317,-1.2911704000011017,TAKE_PROFIT
2025-10-28 13:15:00-04:00,2025-10-28 13:30:00-04:00,SHORT,195.990794,194.628918,102,2.999993444530096,0.5110961865521819,15,146.87999999999977,8.682648000000258,138.1973519999995,TAKE_PROFIT
2025-11-03 12:00:00-05:00,2025-11-03 13:35:00-05:00,SHORT,209.128166,210.607113,95,2.3010174002338237,-0.6088802883904709,95,-132.52500000000097,8.639964999999513,-141.16496500000048,TAKE_PROFIT
2025-11-04 15:26:00-05:00,2025-11-04 15:41:00-05:00,SHORT,199.51009000000002,199.529898,100,2.539045103089889,0.3717112253329393,15,6.000000000000227,8.680799999998566,-2.6807999999983387,TAKE_PROFIT
2025-11-04 15:52:00-05:00,2025-11-04 15:55:00-05:00,SHORT,199.370118,198.56510508,100,2.593648162083758,-0.2901434088580928,3,88.4600000000006,8.658708000001024,79.80129199999958,TAKE_PROFIT
2025-11-05 10:51:00-05:00,2025-11-05 11:29:00-05:00,SHORT,201.499692,202.270446,99,2.9364897478771748,-0.10754564222635772,38,-68.30999999999977,8.687645999998482,-76.99764599999826,TAKE_PROFIT
2025-11-07 11:08:00-05:00,2025-11-07 11:23:00-05:00,LONG,179.9639856,180.498893,111,-2.635599642619669,0.35202189683553514,15,67.37699999999992,8.779278599998959,58.597721400000964,TAKE_PROFIT
2025-11-11 11:50:00-05:00,2025-11-11 12:10:00-05:00,LONG,192.16842599999998,192.801432,104,-2.377053283643884,0.5782136842123003,20,73.84000000000083,8.73537599999843,65.1046240000024,TAKE_PROFIT
2025-11-12 14:00:00-05:00,2025-11-12 14:13:00-05:00,LONG,192.38846999999998,192.521488,103,-2.418256002621707,0.06934544624262007,13,21.63000000000082,8.650145999998639,12.979854000002181,TAKE_PROFIT
2025-11-13 11:47:00-05:00,2025-11-13 12:00:00-05:00,SHORT,185.922808,185.68713,107,2.722485330239408,-0.1596909377809791,13,33.17000000000024,8.701453999999478,24.468546000000764,TAKE_PROFIT
2025-11-13 14:41:00-05:00,2025-11-13 15:36:00-05:00,SHORT,185.95280200000002,186.757344,107,2.9305525171196902,-0.36108913982758994,55,-78.1099999999989,8.724993999997826,-86.83499399999673,TAKE_PROFIT
2025-11-14 13:02:00-05:00,2025-11-14 13:56:00-05:00,SHORT,189.16715900000003,189.64792200000002,105,3.1504954123482762,-0.04903984294195715,54,-42.52500000000012,8.690114999999466,-51.215114999999585,TAKE_PROFIT
2025-11-17 12:43:00-05:00,2025-11-17 13:47:00-05:00,SHORT,187.352522,187.297452,106,2.5701523372543775,-0.5773896686768368,64,13.779999999999518,8.684579999999453,5.095420000000065,TAKE_PROFIT
2025-11-18 12:34:00-05:00,2025-11-18 12:39:00-05:00,SHORT,181.61357002,182.726538,110,2.87302154352775,-0.7275031426427425,5,-114.41099999999949,8.785477800001349,-123.19647780000084,TAKE_PROFIT
2025-11-20 15:42:00-05:00,2025-11-20 15:56:00-05:00,SHORT,180.66386,181.216236,110,2.921760426923897,1.7308341617539187,14,-52.800000000002,8.731359999999047,-61.531360000001044,TAKE_PROFIT
2025-11-21 12:03:00-05:00,2025-11-21 12:39:00-05:00,LONG,180.28605,181.203752,110,-2.1531722169519174,-0.08536661956422631,36,108.900000000001,8.722779999998824,100.17722000000218,TAKE_PROFIT
2025-11-21 13:39:00-05:00,2025-11-21 13:49:00-05:00,LONG,180.23603999999997,183.408311,110,-2.9226497190820373,0.5620718161557808,10,356.9500000000005,8.770189999997928,348.1798100000026,TAKE_PROFIT
2025-12-01 15:42:00-05:00,2025-12-01 15:47:00-05:00,SHORT,179.634066,179.345862,111,2.7419011738256134,1.3078839598055043,5,39.95999999999836,8.746356000000686,31.21364399999767,TAKE_PROFIT
